City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
71,Kidal,0,ML,clear sky,7,18.44,1.41,104.63,0.0,0,10.33
72,Omboue,76,GA,broken clouds,88,-1.57,9.26,73.15,0.0,0,8.68
73,Gizo,2,SB,clear sky,77,-8.1,156.84,81.7,0.0,0,4.61
74,Hoyerswerda,73,DE,broken clouds,79,51.43,14.25,73.0,0.0,0,5.99
75,Sao Felix Do Xingu,60,BR,broken clouds,46,-6.64,-51.99,87.44,0.0,0,8.03
76,Thompson,90,CA,moderate rain,93,55.74,-97.86,35.6,0.0,0,13.87
77,Port Elizabeth,0,ZA,clear sky,87,-33.92,25.57,55.4,0.0,0,2.24
78,Ushuaia,8,AR,clear sky,80,-54.8,-68.3,33.8,0.0,0,7.09
79,Nikolskoye,75,RU,thunderstorm with light rain,82,59.7,30.79,71.01,0.0,0,11.18
80,Avarua,32,CK,light rain,83,-21.21,-159.78,69.8,0.0,0,9.17
81,Yellowknife,20,CA,few clouds,71,62.46,-114.35,61.0,0.0,0,14.99
82,Beringovskiy,6,RU,clear sky,58,63.05,179.32,48.11,0.0,0,0.4
83,Karratha,0,AU,clear sky,60,-20.74,116.85,70.09,0.0,0,4.94
84,Sinnamary,46,GF,moderate rain,95,5.38,-52.95,76.12,3.9,0,11.45
85,Tadine,61,NC,broken clouds,83,-21.55,167.88,70.7,0.0,0,13.44
86,Lavrentiya,8,RU,clear sky,64,65.58,-171.0,48.56,0.0,0,1.12
87,Ekhabi,100,RU,overcast clouds,97,53.51,142.97,39.69,0.0,0,8.86
88,Faanui,63,PF,broken clouds,81,-16.48,-151.75,79.65,0.0,0,5.14
89,Luau,0,AO,clear sky,42,-10.71,22.22,63.14,0.0,0,4.27
90,Victoria,4,HK,clear sky,74,22.29,114.16,84.0,0.0,0,8.3
91,Pitimbu,75,BR,broken clouds,74,-7.47,-34.81,82.4,0.0,0,14.99
92,Airai,91,TL,overcast clouds,100,-8.93,125.41,57.69,0.0,0,4.16
93,Muros,2,ES,clear sky,65,42.78,-9.06,64.99,0.0,0,18.01
94,Hastings,1,GB,clear sky,71,50.86,0.57,64.0,0.0,0,3.0
95,Tehachapi,1,US,clear sky,25,35.13,-118.45,79.0,0.0,0,8.05
96,Talcahuano,90,CL,heavy intensity rain,100,-36.72,-73.12,55.4,0.0,0,4.7
97,Bambous Virieux,75,MU,broken clouds,68,-20.34,57.76,71.6,0.0,0,12.75
98,Kavieng,2,PG,moderate rain,75,-2.57,150.8,82.15,1.96,0,3.96
99,Oyama,90,JP,light rain,93,36.3,139.8,69.01,0.0,0,2.55
100,Chuy,40,UY,scattered clouds,67,-33.7,-53.46,67.53,0.0,0,15.14
101,Saldanha,0,ZA,clear sky,42,-33.01,17.94,68.0,0.0,0,5.82
102,Cidreira,81,BR,broken clouds,66,-30.18,-50.21,73.74,0.0,0,8.93
103,Sandata,99,RU,overcast clouds,48,46.27,41.76,73.33,0.0,0,9.75
104,Bredasdorp,0,ZA,clear sky,87,-34.53,20.04,53.6,0.0,0,4.97
